frame,fps,timecode,physical_simulation_time_s,camera,phase,voiceover_cue,foley_cue,timing_distinction
77,30,00:00:02:16,2.533333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
78,30,00:00:02:17,2.566666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
79,30,00:00:02:18,2.6,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
80,30,00:00:02:19,2.6333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
81,30,00:00:02:20,2.6666666666666665,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
82,30,00:00:02:21,2.7,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
83,30,00:00:02:22,2.7333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
84,30,00:00:02:23,2.7666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
85,30,00:00:02:24,2.8,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
86,30,00:00:02:25,2.8333333333333335,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
87,30,00:00:02:26,2.8666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
88,30,00:00:02:27,2.9,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
89,30,00:00:02:28,2.933333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
90,30,00:00:02:29,2.966666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
91,30,00:00:03:00,3.0,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
92,30,00:00:03:01,3.033333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
93,30,00:00:03:02,3.066666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
94,30,00:00:03:03,3.1,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
95,30,00:00:03:04,3.1333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
96,30,00:00:03:05,3.1666666666666665,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
97,30,00:00:03:06,3.2,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
98,30,00:00:03:07,3.2333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
99,30,00:00:03:08,3.2666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
100,30,00:00:03:09,3.3,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
101,30,00:00:03:10,3.3333333333333335,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
102,30,00:00:03:11,3.3666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
103,30,00:00:03:12,3.4,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
104,30,00:00:03:13,3.433333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
105,30,00:00:03:14,3.466666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
106,30,00:00:03:15,3.5,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
107,30,00:00:03:16,3.533333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
108,30,00:00:03:17,3.566666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
109,30,00:00:03:18,3.6,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
110,30,00:00:03:19,3.6333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
111,30,00:00:03:20,3.6666666666666665,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
112,30,00:00:03:21,3.7,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
113,30,00:00:03:22,3.7333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
114,30,00:00:03:23,3.7666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
115,30,00:00:03:24,3.8,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
116,30,00:00:03:25,3.8333333333333335,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
117,30,00:00:03:26,3.8666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
118,30,00:00:03:27,3.9,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
119,30,00:00:03:28,3.933333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
120,30,00:00:03:29,3.966666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
121,30,00:00:04:00,4.0,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
122,30,00:00:04:01,4.033333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
123,30,00:00:04:02,4.066666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
124,30,00:00:04:03,4.1,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
125,30,00:00:04:04,4.133333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
126,30,00:00:04:05,4.166666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
127,30,00:00:04:06,4.2,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
128,30,00:00:04:07,4.233333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
129,30,00:00:04:08,4.266666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
130,30,00:00:04:09,4.3,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
131,30,00:00:04:10,4.333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
132,30,00:00:04:11,4.366666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
133,30,00:00:04:12,4.4,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
134,30,00:00:04:13,4.433333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
135,30,00:00:04:14,4.466666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
136,30,00:00:04:15,4.5,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
137,30,00:00:04:16,4.533333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
138,30,00:00:04:17,4.566666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
139,30,00:00:04:18,4.6,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
140,30,00:00:04:19,4.633333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
141,30,00:00:04:20,4.666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
142,30,00:00:04:21,4.7,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
143,30,00:00:04:22,4.733333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
144,30,00:00:04:23,4.766666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
145,30,00:00:04:24,4.8,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
146,30,00:00:04:25,4.833333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
147,30,00:00:04:26,4.866666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
148,30,00:00:04:27,4.9,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
149,30,00:00:04:28,4.933333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
150,30,00:00:04:29,4.966666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
151,30,00:00:05:00,5.0,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
152,30,00:00:05:01,5.033333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
153,30,00:00:05:02,5.066666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
154,30,00:00:05:03,5.1,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
155,30,00:00:05:04,5.133333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
156,30,00:00:05:05,5.166666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
157,30,00:00:05:06,5.2,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
158,30,00:00:05:07,5.233333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
159,30,00:00:05:08,5.266666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
160,30,00:00:05:09,5.3,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
161,30,00:00:05:10,5.333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
162,30,00:00:05:11,5.366666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
163,30,00:00:05:12,5.4,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
164,30,00:00:05:13,5.433333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
165,30,00:00:05:14,5.466666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
166,30,00:00:05:15,5.5,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
167,30,00:00:05:16,5.533333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
168,30,00:00:05:17,5.566666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
169,30,00:00:05:18,5.6,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
170,30,00:00:05:19,5.633333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
171,30,00:00:05:20,5.666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
172,30,00:00:05:21,5.7,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
173,30,00:00:05:22,5.733333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
174,30,00:00:05:23,5.766666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
175,30,00:00:05:24,5.8,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
176,30,00:00:05:25,5.833333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
177,30,00:00:05:26,5.866666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
178,30,00:00:05:27,5.9,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
179,30,00:00:05:28,5.933333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
180,30,00:00:05:29,5.966666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
181,30,00:00:06:00,6.0,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
182,30,00:00:06:01,6.033333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
183,30,00:00:06:02,6.066666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
184,30,00:00:06:03,6.1,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
185,30,00:00:06:04,6.133333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
186,30,00:00:06:05,6.166666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
187,30,00:00:06:06,6.2,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
188,30,00:00:06:07,6.233333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
189,30,00:00:06:08,6.266666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
190,30,00:00:06:09,6.3,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
191,30,00:00:06:10,6.333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
192,30,00:00:06:11,6.366666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
193,30,00:00:06:12,6.4,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
194,30,00:00:06:13,6.433333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
